,a,p,c,accuracy,macro avg,weighted avg
precision,0.25,0.35714285714285715,0.0,0.3567073170731707,0.2023809523809524,0.1722560975609756
recall,0.0056179775280898875,1.0,0.0,0.3567073170731707,0.3352059925093633,0.3567073170731707
f1-score,0.01098901098901099,0.5263157894736842,0.0,0.3567073170731707,0.1791016001542317,0.18919366897544043
support,178.0,350.0,456.0,0.3567073170731707,984.0,984.0
