,a,p,c,accuracy,macro avg,weighted avg
precision,0.0,0.3564862104187947,1.0,0.3567073170731707,0.45216207013959825,0.590213591104246
recall,0.0,0.9971428571428571,0.0043859649122807015,0.3567073170731707,0.3338429406850459,0.3567073170731707
f1-score,0.0,0.5252069224981188,0.008733624454148471,0.3567073170731707,0.17798018231742244,0.190858694741294
support,178.0,350.0,456.0,0.3567073170731707,984.0,984.0
