,a,p,c,accuracy,macro avg,weighted avg
precision,0.5641025641025641,0.3719247467438495,0.6390728476821192,0.4573643410852713,0.5250333861761777,0.5310527329487608
recall,0.1116751269035533,0.7099447513812155,0.4080338266384778,0.4573643410852713,0.40988456830774883,0.4573643410852713
f1-score,0.1864406779661017,0.4881291547958215,0.49806451612903224,0.4573643410852713,0.39087811629698516,0.4350931043841489
support,197.0,362.0,473.0,0.4573643410852713,1032.0,1032.0
