,a,p,c,accuracy,macro avg,weighted avg
precision,0.6153846153846154,0.3743169398907104,0.6550522648083623,0.45542635658914726,0.5482512733612294,0.5490050607805831
recall,0.04060913705583756,0.7569060773480663,0.3974630021141649,0.45542635658914726,0.39832607217268956,0.45542635658914726
f1-score,0.0761904761904762,0.5009140767824497,0.49473684210526314,0.45542635658914726,0.35728046502606303,0.4170067305431784
support,197.0,362.0,473.0,0.45542635658914726,1032.0,1032.0
