,a,p,c,accuracy,macro avg,weighted avg
precision,0.375,0.34146341463414637,0.7142857142857143,0.3446019629225736,0.4769163763066202,0.524907477420311
recall,0.01775147928994083,0.9871794871794872,0.011467889908256881,0.3446019629225736,0.3387996187925617,0.3446019629225736
f1-score,0.03389830508474576,0.5074135090609555,0.022573363431151242,0.3446019629225736,0.18796172585895085,0.1896224807440808
support,169.0,312.0,436.0,0.3446019629225736,917.0,917.0
