,a,p,c,accuracy,macro avg,weighted avg
precision,0.5,0.3547400611620795,0.0,0.3546747967479675,0.28491335372069315,0.21662502175480472
recall,0.0056179775280898875,0.9942857142857143,0.0,0.3546747967479675,0.33330123060460143,0.3546747967479675
f1-score,0.011111111111111112,0.5229151014274981,0.0,0.3546747967479675,0.17800873751286972,0.18800616186727856
support,178.0,350.0,456.0,0.3546747967479675,984.0,984.0
