,a,p,c,accuracy,macro avg,weighted avg
precision,0.36387434554973824,0.484149855907781,0.6996699669966997,0.502906976744186,0.5158980561514063,0.5599703375013121
recall,0.7055837563451777,0.46408839779005523,0.44820295983086683,0.502906976744186,0.5392917046553666,0.502906976744186
f1-score,0.48013816925734026,0.47390691114245415,0.5463917525773195,0.502906976744186,0.5001456109923713,0.5083186241728068
support,197.0,362.0,473.0,0.502906976744186,1032.0,1032.0
