,a,p,c,accuracy,macro avg,weighted avg
precision,0.5925925925925926,0.3539325842696629,0.5531914893617021,0.36777583187390545,0.49990555540798587,0.4916424948314302
recall,0.06557377049180328,0.942643391521197,0.052313883299798795,0.36777583187390545,0.35351034843759965,0.36777583187390545
f1-score,0.11808118081180811,0.5146358066712049,0.09558823529411764,0.36777583187390545,0.24276840759237686,0.24753775791104274
support,244.0,401.0,497.0,0.36777583187390545,1142.0,1142.0
